tradingtime,deliverytime,price
2025-01-09 10:00:00,2025-01-09 14:00:00,94.92
2025-01-09 10:00:00,2025-01-09 15:00:00,102.12
2025-01-09 10:00:00,2025-01-09 16:00:00,110.125
2025-01-09 10:00:00,2025-01-09 17:00:00,135.23000000000002
2025-01-09 10:00:00,2025-01-09 18:00:00,145.7
2025-01-09 10:00:00,2025-01-09 19:00:00,136.065
2025-01-09 10:00:00,2025-01-09 20:00:00,130.72500000000002
2025-01-09 10:00:00,2025-01-09 21:00:00,119.16
2025-01-09 10:00:00,2025-01-09 22:00:00,120.83
2025-01-09 10:00:00,2025-01-09 23:00:00,109.11500000000001
2025-01-10 10:00:00,2025-01-10 12:00:00,119.31
2025-01-10 10:00:00,2025-01-10 13:00:00,116.28
2025-01-10 10:00:00,2025-01-10 14:00:00,114.455
2025-01-10 10:00:00,2025-01-10 15:00:00,125.75999999999999
2025-01-10 10:00:00,2025-01-10 16:00:00,134.14499999999998
2025-01-10 10:00:00,2025-01-10 17:00:00,144.235
2025-01-10 10:00:00,2025-01-10 18:00:00,149.995
2025-01-10 10:00:00,2025-01-10 19:00:00,147.87
2025-01-10 10:00:00,2025-01-10 20:00:00,136.82999999999998
2025-01-10 10:00:00,2025-01-10 21:00:00,123.89
2025-01-10 10:00:00,2025-01-10 22:00:00,122.455
2025-01-10 10:00:00,2025-01-10 23:00:00,117.76
2025-01-11 10:00:00,2025-01-11 12:00:00,107.255
2025-01-11 10:00:00,2025-01-11 13:00:00,94.77000000000001
2025-01-11 10:00:00,2025-01-11 14:00:00,93.03999999999999
2025-01-11 10:00:00,2025-01-11 15:00:00,97.82
2025-01-11 10:00:00,2025-01-11 16:00:00,104.33500000000001
2025-01-11 10:00:00,2025-01-11 17:00:00,122.09
2025-01-11 10:00:00,2025-01-11 18:00:00,131.58
2025-01-11 10:00:00,2025-01-11 19:00:00,132.87
2025-01-11 10:00:00,2025-01-11 20:00:00,117.5
2025-01-11 10:00:00,2025-01-11 21:00:00,112.0
2025-01-11 10:00:00,2025-01-11 22:00:00,113.0
